Nama Hotel,Tipe Properti,Bintang Hotel,Rating,Lokasi,Harga Diskon,Harga Asli,Fasilitas,URL Gambar
Ozone Hotel Pantai Indah Kapuk Jakarta,Hotel,3,"8.3 (4,1rb ulasan)","Kapuk Muara, Jakarta",Rp 368.550,Rp 491.399,Fasilitas bisnis; Aksesibel bagi penyandang disabilitas,N/A
Swiss-Belhotel Airport Jakarta,Hotel,4,"8.6 (2,6rb ulasan)","Benda, Jakarta",Rp 827.857,Rp 1.103.809,Antar-jemput bandara; Bar,N/A
The Bellezza Hotel Suites,Hotel,4,"8.4 (1,3rb ulasan)","Permata Hijau, Jakarta",Rp 599.509,Rp 799.345,Lapangan olah raga; Badminton; Pengering pakaian; Pusat kebugaran; Sauna; Bar,N/A
Shangri La Jakarta,Hotel,5,"8.9 (2,4rb ulasan)","Karet Tengsin, Jakarta",Rp 2.632.518,Rp 3.510.023,Klub malam; Klub kesehatan; Sewa mobil; Layanan pijat; Ruangan game,N/A
favehotel Gatot Subroto,Hotel,2,"8.4 (4,5rb ulasan)","Gatot Subroto, Jakarta",Rp 434.818,Rp 579.757,Penitipan anak; Layanan pijat,N/A
"The Ritz-Carlton Jakarta, Pacific Place Residences",Apartemen,5,8.7 (366 ulasan),"Sudirman Central Business District, Jakarta",Rp 3.150.000,Rp 4.199.999,Layanan pijat; Spa,N/A
Zest Airport Jakarta by Swiss-Belhotel International,Hotel,2,"8.4 (9,9rb ulasan)","Benda, Jakarta",Rp 434.070,Rp 578.759,Layanan pijat; Aksesibel bagi penyandang disabilitas,N/A
Aston Kemayoran City Hotel,Hotel,3,"8.7 (1,3rb ulasan)","Gunung Sahari, Jakarta",Rp 511.956,Rp 682.607,Penitipan anak,N/A
Swiss-Belinn Simatupang Jakarta,Hotel,3,"8.5 (6,6rb ulasan)","Lebak Bulus, Jakarta",Rp 620.417,Rp 807.019,Bar; Layanan pijat; Pusat kebugaran; Antar-jemput bandara; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10005467-d6341fea14be60c87672c23336b5d053.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Luxury Inn Arion Hotel,Hotel,4,"8.4 (1,3rb ulasan)","Rawamangun, Jakarta",Rp 487.305,Rp 649.739,Fasilitas bisnis; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20036153-4a3f0cf5f3d0948733b40fc25b6d7558.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Adotel,Hotel,0,"8.6 (1,2rb ulasan)","Tebet, Jakarta",Rp 407.634,Rp 543.511,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20038307-aa03cee8ed029e5b8b53b76a8494f0de.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
favehotel PGC Cililitan,Hotel,3,8.0 (13rb ulasan),"Cililitan, Jakarta",Rp 416.674,Rp 555.565,Layanan pijat; Aksesibel bagi penyandang disabilitas; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007103-2048x1313-FIT_AND_TRIM-911938dc82e0c9c069fa1d90d42b69f3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
POP! Hotel Kelapa Gading,Hotel,2,8.4 (10rb ulasan),"Kelapa Gading Timur, Jakarta",Rp 373.316,Rp 497.754,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002769-6b65f2f9ebbae9b8582bef91c1e23e0e.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Plaza 54 Residence,Homestay,1,"8.6 (2,5rb ulasan)","Kuningan, Jakarta",Rp 264.537,Rp 352.715,Layanan pijat; Pusat kebugaran; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20006667-65170d57e131bfafe3ae4079ef35896b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ascott Kuningan Jakarta,Apartemen,5,"8.7 (1,6rb ulasan)","Kuningan, Jakarta",Rp 2.894.561,Rp 3.859.414,Badminton; Basket; Dapur kecil; Pusat kebugaran; Lapangan tennis outdoor,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10008882-900x600-FIT_AND_TRIM-41ba855297dd91c05b3ea0c5e4dcf541.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Menara Peninsula,Hotel,4,8.4 (8rb ulasan),"Slipi, Jakarta",Rp 624.001,Rp 832.001,Great value in its class; Layanan pijat; Pusat kebugaran; Bar di kolam renang,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000240-1772x1162-FIT_AND_TRIM-0b24af2296348c7a22eed9e384a535ee.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Best Western Senayan,Hotel,3,"8.5 (2,1rb ulasan)","Senayan, Jakarta",Rp 679.975,Rp 906.633,Banyak dipilih oleh Business Traveler; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20013923-59a13693f279e757f4afbb02ddd78482.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand Mercure Jakarta Kemayoran,Hotel,5,"8.6 (3,3rb ulasan)","Gunung Sahari, Jakarta",Rp 1.498.289,Rp 1.997.718,Penitipan anak; Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10033004-2048x1536-FIT_AND_TRIM-afd7a21d7697e65aa190ae75aa56fa8e.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
W Home Reserva Setiabudi,Hotel,0,9.1 (217 ulasan),"Setiabudi, Jakarta",Rp 462.940,Rp 617.253,Great value in its class; Layanan pijat; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20080088-1ca2737275eaa3dd3f7183a30d060105.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Gren Alia Jakarta,Hotel,3,"8.7 (3,8rb ulasan)","Senen, Jakarta",Rp 532.351,Rp 709.801,Ruang santai; Area main anak; Klub anak; Sewa mobil; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10007125-4f5f8d51e52d37b041e024af7d8548c4.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Whiz Hotel Cikini - Menteng,Hotel,2,8.2 (11rb ulasan),"Cikini, Jakarta",Rp 352.170,Rp 469.559,Layanan pijat; Check-out ekspress; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000515-800x533-FIT_AND_TRIM-22418770309e5803d202ae5d432cfe65.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
1O1 URBAN Jakarta Kelapa Gading,Hotel,3,8.7 (13rb ulasan),"Kelapa Gading Barat, Jakarta",Rp 304.789,Rp 406.385,Fasilitas bisnis; Aksesibel bagi penyandang disabilitas,N/A
W Home Benhil,Hotel,0,8.8 (2rb ulasan),"Bendungan Hilir, Jakarta",Rp 396.306,Rp 528.407,Check-out ekspress,N/A
Pullman Jakarta Central Park,Hotel,5,"8.5 (2,4rb ulasan)","Tanjung Duren, Jakarta",Rp 2.300.000,Rp 3.066.666,Area main anak,N/A
True Blue Menteng Jakarta,Hotel,3,9.2 (96 ulasan),"Cikini, Jakarta",Rp 517.609,Rp 690.145,Great value in its class; Aksesibel bagi penyandang disabilitas,N/A
Hotel Neo Tendean by ASTON,Hotel,3,"8.2 (5,6rb ulasan)","Tendean, Jakarta",Rp 360.036,Rp 480.047,Sewa mobil; Layanan pijat; Spa,N/A
Grand Whiz Poins Simatupang Jakarta,Hotel,4,"8.5 (9,2rb ulasan)","Lebak Bulus, Jakarta",Rp 536.446,Rp 715.261,Sewa mobil; Layanan pijat; Pusat kebugaran,N/A
Kartika One Hotel - Jakarta,Hotel,3,"8.7 (1,8rb ulasan)","Srengseng Sawah, Jakarta",Rp 266.961,Rp 355.947,,N/A
Posto Dormire Hotel,Hotel,3,"8.6 (6,2rb ulasan)","Grogol, Jakarta",Rp 405.405,Rp 540.539,Layanan pijat; Pusat kebugaran; Aksesibel bagi penyandang disabilitas,N/A
Vasaka Hotel Jakarta Managed by Dafam,Hotel,4,"8.6 (8,2rb ulasan)","Cawang, Jakarta",Rp 583.074,Rp 777.431,Restoran show cooking; Area main anak; Layanan pijat,N/A
DENZ Premiere Mahakam,Hotel,2,"8.4 (1,9rb ulasan)","Mahakam, Jakarta",Rp 198.198,Rp 264.263,Fasilitas bisnis; Bar,N/A
Somerset Sudirman Jakarta,Apartemen,4,9.0 (951 ulasan),"Karet Tengsin, Jakarta",Rp 990.991,Rp 1.321.321,Dapur kecil; Pusat kebugaran; Sauna,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20050528-f834f4304659cf10edd7fc2e9f3b6b4c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand G7 Hotel Kemayoran,Hotel,3,"8.5 (3,7rb ulasan)","Gunung Sahari, Jakarta",Rp 440.622,Rp 587.495,Bar di kolam renang,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20009693-37c0395578b78476c33b40bd47209153.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Horison Ultima Menteng Jakarta,Hotel,4,"9.0 (1,1rb ulasan)","Kebon Sirih, Jakarta",Rp 369.485,Rp 491.415,Pusat kebugaran; Spa,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20070566-f26bd3d490f529934a507a62d60a865b.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Arthama Tanah Abang Jakarta,Hotel,3,8.5 (2rb ulasan),"Kebon Kacang, Jakarta",Rp 360.360,Rp 480.479,Pengering pakaian; Layanan pijat; Fasilitas bisnis; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20021527-2c78e18b59620599eda34a1f930c5bc4.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Des Indes Menteng,Hotel,4,"8.7 (1,3rb ulasan)","Menteng, Jakarta",Rp 609.623,Rp 812.830,Great value in its class; Bar; Winery; Fasilitas bisnis; Check-out ekspress; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20024327-2d4df518a623e20fcfb4a3d433f00534.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Neo Hotel Puri Indah by ASTON,Hotel,3,"8.5 (2,1rb ulasan)","Puri Kembangan, Jakarta",Rp 588.142,Rp 784.189,Layanan pijat; Teras rooftop; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20040100-797777b5f7d41353f6d3beddae4cc84d.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
MaxOneHotels Premier Melawai,Hotel,3,"9.4 (1,4rb ulasan)","Melawai, Jakarta",Rp 778.051,Rp 1.037.401,Layanan pijat; Aksesibel bagi penyandang disabilitas; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20066432-a356f0de75eb03b9dc98aa6cf950f66c.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Fieris Hotel Jakarta,Hotel,3,"8.7 (1,3rb ulasan)","Rawamangun, Jakarta",Rp 593.776,Rp 791.701,Transportasi ke pusat perbelanjaan; Fasilitas bisnis; Antar-jemput bandara,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/72000000/71090000/71080600/71080526/8b733753_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Senayan Stay,Hotel Kapsul,0,9.2 (362 ulasan),"Senayan, Jakarta",Rp 212.940,Rp 283.919,Basket; Golf; Lapangan golf; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20078962-c88a50336ac7494ff0e4d796ab2fdc75.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
MaxOne Sabang Jakarta,Hotel,3,8.3 (4rb ulasan),"Menteng, Jakarta",Rp 406.224,Rp 541.631,Layanan pijat; Antar-jemput bandara; Spa,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000057-afa8d4b886ccc40f2853cd3121d60eee.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
DENZ Premiere Genteng Ijo,Hostel,2,"8.1 (2,5rb ulasan)","Kuningan, Jakarta",Rp 175.676,Rp 234.234,Great value in its class; Fasilitas bisnis; Aksesibel bagi penyandang disabilitas; Bar,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20037035-432e30ca16f45b928fb6235a903f1c54.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Ashley Tanah Abang,Hotel,4,9.1 (983 ulasan),"Tanah Abang, Jakarta",Rp 962.346,Rp 1.283.127,Terletak di sebelah Pusat Kota; Kolam air panas indoor; Pusat kebugaran,N/A
Swiss-Belresidences Kalibata,Hotel,4,"8.6 (8,8rb ulasan)","Kalibata, Jakarta",Rp 1.027.846,Rp 1.370.461,Aerobik; Area main anak; Sewa mobil; Pusat kebugaran; Fasilitas bisnis,N/A
Luminor Hotel Kota Jakarta By WH,Hotel,4,8.4 (2rb ulasan),"Mangga Besar, Jakarta",Rp 687.961,Rp 917.281,Restoran show cooking; Karaoke; Penitipan anak; Sewa mobil; Layanan pijat,N/A
"The Orient Jakarta, a Royal Hideaway Hotel",Hotel,5,9.1 (254 ulasan),"Sudirman, Jakarta",Rp 1.929.894,Rp 2.573.191,Klub malam; Handuk pantai; Layanan pijat; Pusat kebugaran,N/A
Sotis Hotel Kemang Jakarta,Hotel,4,"9.0 (2,7rb ulasan)","Kemang, Jakarta",Rp 509.163,Rp 678.883,Penitipan anak; Layanan pijat; Antar-jemput bandara; Spa; Bar,N/A
Goodrich Suites Jakarta,Hotel,5,9.0 (277 ulasan),"Cipete Utara, Jakarta",Rp 1.189.842,Rp 1.586.455,,N/A
Bidakara Hotel Jakarta,Hotel,4,"8.5 (4,7rb ulasan)","Gatot Subroto, Jakarta",Rp 982.801,Rp 1.310.401,Area main anak; Sewa mobil,N/A
Yellow Bee Resort Cililitan,Resor,4,9.0 (72 ulasan),"Cililitan, Jakarta",Rp 1.311.565,Rp 1.748.753,Akses ke water park,N/A
d'primahotel Airport Jakarta 2,Hotel,3,"8.7 (2,8rb ulasan)","Benda, Jakarta",Rp 327.600,Rp 436.799,Teras rooftop; Aksesibel bagi penyandang disabilitas; Bar,N/A
Brits Hotel Puri Indah,Hotel,3,"8.5 (4,9rb ulasan)","Puri Kembangan, Jakarta",Rp 408.838,Rp 545.117,Layanan pijat; Pusat kebugaran; Aksesibel bagi penyandang disabilitas; Spa,N/A
Juno Tanah Abang Jakarta,Hotel,3,"8.6 (5,8rb ulasan)","Tanah Abang, Jakarta",Rp 670.447,Rp 893.929,Dalam jarak jalan kaki ke Pusat Perbelanjaan; Pusat kebugaran,N/A
"Holiday Inn Express JAKARTA INTERNATIONAL EXPO, an IHG Hotel",Hotel,3,"8.8 (1,9rb ulasan)","Kemayoran, Jakarta",Rp 727.348,Rp 969.797,Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/jW25E6H4jwsNsym3vRZW9pDKSTcrZlP7BvHu9f8hP3-lGYGGaXKkZsCoIWPujriR/imageRepo/6/0/98/281/565/JKTIE_4469516912_P.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Amaris Hotel Slipi,Hotel,2,"8.7 (1,7rb ulasan)","Kota Bambu, Jakarta",Rp 357.903,Rp 477.203,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20034298-7cf89360cfdbf1f01e9e2a999c25aaf7.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Swiss-Belinn Kemayoran,Hotel,3,"8.4 (3,6rb ulasan)","Kemayoran, Jakarta",Rp 932.220,Rp 1.242.959,Layanan pijat; Pusat kebugaran; Aksesibel bagi penyandang disabilitas; Spa; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10005327-c51777431f4d811bf43be988ed160310.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Luminor Hotel Pecenongan Jakarta By WH,Hotel,4,"8.6 (5,2rb ulasan)","Harmoni, Jakarta",Rp 737.101,Rp 982.801,Pengering pakaian; Area main anak; Penitipan anak; Sewa mobil; Perpustakaan; Bar,N/A
Hotel Santika Kelapa Gading,Hotel,3,"8.4 (5,3rb ulasan)","Kelapa Gading Barat, Jakarta",Rp 516.433,Rp 688.577,Restoran show cooking; Spa,N/A
Swiss-Belresidences Rasuna Epicentrum,Hotel,4,"8.2 (1,3rb ulasan)","Kuningan, Jakarta",Rp 733.595,Rp 978.126,Jemputan stasiun kereta; Area main anak; Antar-jemput bandara; Bar,N/A
"Holiday Inn Express JAKARTA PLUIT CITYGATE, an IHG Hotel",Hotel,3,"8.4 (4,8rb ulasan)","Pluit, Jakarta",Rp 1.466.758,Rp 1.508.291,Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/jW25E6H4jwsNsym3vRZW9pDKSTcrZlP7BvHu9f8hP3-lGYGGaXKkZsCoIWPujriR/imageRepo/7/0/105/196/113/JKTPC_5305185110_P.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Horison Ultima Suite & Residence Rasuna,Hotel,4,"7.9 (1,3rb ulasan)","Kuningan, Jakarta",Rp 545.455,Rp 727.273,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20049308-2e6d304478c557c51dc4004e8d4e99a5.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Sheraton Grand Jakarta Gandaria City Hotel,Hotel,5,"8.9 (1,7rb ulasan)","Kebayoran Lama Utara, Jakarta",Rp 2.590.000,Rp 3.453.333,Restoran show cooking; Winery; Fasilitas bisnis,"https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/lodging/13000000/12090000/12088000/12087971/789447b5_z.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Pullman Jakarta Indonesia,Hotel,5,"8.6 (1,8rb ulasan)","Thamrin, Jakarta",Rp 14.600.000,Rp 19.466.666,Check-out ekspress,"https://ik.imagekit.io/tvlk/apr-asset/rvN7CENfvyT2YVqT-7R6UjRIibYDnsWI+-nAv8mJ7GI=/38732/photos/68638098_XL.jpg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
favehotel Pluit Junction,Hotel,2,8.3 (3rb ulasan),"Pluit, Jakarta",Rp 344.740,Rp 459.653,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007333-2048x1287-FIT_AND_TRIM-151192a644c97a90b882e00ea626c1c5.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hilton Garden Inn Jakarta Taman Palem,Hotel,4,8.7 (846 ulasan),"Cengkareng Barat, Jakarta",Rp 1.281.500,Rp 1.708.666,Golf; Klub kesehatan; Pusat kebugaran; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20051476-201af0f47d2fa628ecfd22f61b36ba91.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand Travello Hotel Bekasi,Hotel,0,9.5 (40 ulasan),"Kalimalang, Jakarta",Rp 634.726,Rp 846.301,Great value in its class; Area main anak; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20084843-6b12cbbc917f3041189e5bf32f782dd3.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand Thamrin Hotel,Hotel,3,8.5 (692 ulasan),"Thamrin, Jakarta",Rp 449.435,Rp 599.246,,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/20056180-9ad19f95dd2e13b07b1d56c7cea40887.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Grand Sahid Jaya Jakarta,Hotel,5,"8.1 (3,3rb ulasan)","Sudirman, Jakarta",Rp 1.433.352,Rp 1.911.135,Great value in its class; Bar di kolam renang,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000147-3e2b4f2e789c5d0ec40b9a85fc219a2b.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
POP! Hotel Tebet,Hotel,2,"8.2 (9,4rb ulasan)","Tebet, Jakarta",Rp 342.342,Rp 456.455,Great value in its class,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002761-1023x1364-FIT_AND_TRIM-b327adc6f6fcb8807856f8f5c8b85785.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Hotel Santika Premiere Hayam Wuruk Jakarta,Hotel,4,"8.7 (3,6rb ulasan)","Glodok, Jakarta",Rp 700.873,Rp 934.497,,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10004020-949a7a0c50e5b21f455958988a2389d9.png?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
D'Arcici Cempaka Putih,Hotel,3,"8.3 (3,3rb ulasan)","Cempaka Putih Barat, Jakarta",Rp 268.936,Rp 358.581,Great value in its class; Layanan pijat; Aksesibel bagi penyandang disabilitas,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10000622-19a2e76c2ac136a88020f80166899b3a.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
Swiss-Belinn Wahid Hasyim,Hotel,3,"8.5 (1,6rb ulasan)","Kebon Kacang, Jakarta",Rp 532.780,Rp 710.373,Layanan pijat; Aksesibel bagi penyandang disabilitas; Check-out ekspress; Bar,"https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20043228-c338b7312092ac683ae8ddf25e2aafbe.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
D'Bamboo Suites,Hotel,3,"8.1 (3,2rb ulasan)","Kuningan, Jakarta",Rp 286.650,Rp 382.199,Great value in its class; Sewa mobil; Layanan pijat; Pusat kebugaran,"https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/10010027-4fcf77e6337ba71c4e21ac5c9c3842fb.jpeg?_src=imagekit&tr=f-jpg,fo-auto,h-161,pr-true,q-80,w-300"
